"","value_var","var","value_food_safety","prob","sum","weight"
"34","PATAGONIA","region","safety",0.058173356602676,0.102094240837696,0.56980056980057
"79","sec_school_compl","head_house_educa","safety",0.542757417102967,0.981384525887144,0.553052756372258
"61","full_employment","head_house_empl","safety",0.471495055264689,0.87434554973822,0.539254823685961
"55","Hogar multipersonal no familiar","home_type1","safety",0.0104712041884817,0.0194880744618965,0.537313432835821
"7","Ciudad de Buenos Aires","urban_aglom4","safety",0.081151832460733,0.159976730657359,0.507272727272727
"72","unemployed","head_house_empl","unsafety",0.338859802210588,0.709714950552647,0.477459016393443
"40","Sin niños","minors_in_home","safety",0.457242582897033,0.958115183246073,0.477231329690346
"56","Hogar multipersonal no familiar","home_type1","some_unsafety",0.00901687027341478,0.0194880744618965,0.462686567164179
"54","Hogar familiar nuclear incompleto","home_type1","unsafety",0.179173938336242,0.394415357766143,0.454277286135693
"93","Tenencia informal","housing_tenure","unsafety",0.319371727748691,0.719604421175102,0.443815683104285
"45","Hogar familiar compuesto","home_type1","unsafety",0.0279232111692845,0.0654450261780105,0.426666666666667
"58","Hogar unipersonal","home_type1","safety",0.0642815590459569,0.152705061082024,0.420952380952381
"92","Tenencia informal","housing_tenure","some_unsafety",0.294648051192554,0.719604421175102,0.409458367016977
"84","sec_school_incompl","head_house_educa","unsafety",0.824316463059919,2.01861547411286,0.40835734870317
"85","Inquilino","housing_tenure","safety",0.170157068062827,0.419720767888307,0.405405405405405
"48","Hogar familiar extendido","home_type1","unsafety",0.369691681210006,0.91564863292612,0.403748411689962
"75","Mujer","head_house_sex","unsafety",0.349912739965096,0.875509016870273,0.399667774086379
"30","NOA","region","unsafety",0.20564281559046,0.516870273414776,0.39786156443444
"71","unemployed","head_house_empl","some_unsafety",0.281268179173938,0.709714950552647,0.396311475409836
"17","Resto Urbano Interior","urban_aglom4","some_unsafety",0.295811518324607,0.746655031995346,0.396182313985197
"35","PATAGONIA","region","some_unsafety",0.0404304828388598,0.102094240837696,0.396011396011396
"26","NEA","region","some_unsafety",0.0991855730075625,0.251018033740547,0.39513325608343
"39","Con niños","minors_in_home","unsafety",0.804246655031995,2.04188481675393,0.393874643874644
"12","Conurbano Bonaerense","urban_aglom4","unsafety",0.296974985456661,0.757707969749855,0.391938579654511
"88","Propietario","housing_tenure","safety",0.724258289703316,1.86067481093659,0.389244958574332
"49","Hogar familiar nuclear completo","home_type1","safety",0.564281559045957,1.45229784758581,0.388543961546165
"23","CUYO","region","some_unsafety",0.178592204770215,0.46044211751018,0.387871130764371
"59","Hogar unipersonal","home_type1","some_unsafety",0.0558464223385689,0.152705061082024,0.365714285714286
"83","sec_school_incompl","head_house_educa","some_unsafety",0.737056428155905,2.01861547411286,0.365129682997118
"15","Otras Áreas Metropolitanas","urban_aglom4","unsafety",0.479930191972077,1.33566026759744,0.359320557491289
