"","value_var","var","value_food_safety","prob","sum","weight"
"48","unemployed","head_house_empl","unsafety",0.296153846153846,0.385740815321967,0.767753461366682
"62","Tenencia informal","housing_tenure","unsafety",0.273076923076923,0.37866156531078,0.721163561590414
"5","Ciudad de Buenos Aires","urban_aglom4","safety",0.081151832460733,0.113844140153041,0.712832758468206
"53","sec_school_compl","head_house_educa","safety",0.542757417102967,0.788911263256813,0.687982847224586
"41","full_employment","head_house_empl","safety",0.471495055264689,0.70226428603392,0.671392614776818
"23","PATAGONIA","region","safety",0.058173356602676,0.0889425873719067,0.654055141879654
"27","Sin niños","minors_in_home","safety",0.457242582897033,0.714934890589341,0.639558355475021
"56","sec_school_incompl","head_house_educa","unsafety",0.753846153846154,1.21108873674319,0.622453277761766
"36","Hogar familiar nuclear incompleto","home_type1","unsafety",0.144230769230769,0.240216807625185,0.600419140761439
"39","Hogar unipersonal","home_type1","safety",0.0642815590459569,0.108512328276726,0.59238945534398
"26","Con niños","minors_in_home","unsafety",0.742307692307692,1.28506510941066,0.577642087448877
"37","Hogar multipersonal no familiar","home_type1","safety",0.0104712041884817,0.0181635118807894,0.57649667405765
"20","NOA","region","unsafety",0.186538461538462,0.327608851299951,0.569393839019543
"30","Hogar familiar compuesto","home_type1","unsafety",0.0269230769230769,0.0472837517340135,0.569393839019543
"32","Hogar familiar extendido","home_type1","unsafety",0.309615384615385,0.554234349129637,0.558636225094314
"18","NEA","region","unsafety",0.0980769230769231,0.175738354141495,0.558084907281859
"50","Mujer","head_house_sex","unsafety",0.309615384615385,0.554816082695664,0.558050486047679
"57","Inquilino","housing_tenure","safety",0.170157068062827,0.306695529601289,0.554807787006336
"59","Propietario","housing_tenure","safety",0.724258289703316,1.31464290508793,0.55091636436046
"33","Hogar familiar nuclear completo","home_type1","safety",0.564281559045957,1.03158925135365,0.547002170006626
"46","precarious_employm","head_house_empl","unsafety",0.261538461538462,0.48346981697767,0.540961301728048
"3","Gran Buenos aires","urban_aglom2","safety",0.305700988947062,0.578777912023985,0.52818357887575
"13","AMBA","region","safety",0.305700988947062,0.578777912023985,0.52818357887575
"51","Varón","head_house_sex","safety",0.754799301919721,1.44518391730434,0.522285982345851
"12","Resto Urbano Interior","urban_aglom4","unsafety",0.282692307692308,0.542436344923256,0.521152961703374
"8","Conurbano Bonaerense","urban_aglom4","unsafety",0.240384615384615,0.464933771870945,0.517029800647265
"2","Ciudades del Interior (con Rosario)","urban_aglom2","unsafety",0.726923076923077,1.42122208797601,0.511477469336478
"21","PAMPEANA","region","safety",0.263816172193136,0.517662326039289,0.509629847340122
"16","CUYO","region","unsafety",0.157692307692308,0.311269969123372,0.506609449464128
"43","inactive","head_house_empl","safety",0.216986620127981,0.428525081666443,0.506356872470957
"10","Otras Áreas Metropolitanas","urban_aglom4","unsafety",0.444230769230769,0.878785743052759,0.505505207318889
"9","Otras Áreas Metropolitanas","urban_aglom4","safety",0.43455497382199,0.878785743052759,0.49449479268111
"44","inactive","head_house_empl","unsafety",0.211538461538462,0.428525081666443,0.493643127529043
"15","CUYO","region","safety",0.153577661431065,0.311269969123372,0.493390550535872
"22","PAMPEANA","region","unsafety",0.253846153846154,0.517662326039289,0.490370152659878
"1","Ciudades del Interior (con Rosario)","urban_aglom2","safety",0.694299011052938,1.42122208797601,0.488522530663522
"7","Conurbano Bonaerense","urban_aglom4","safety",0.224549156486329,0.464933771870945,0.482970199352735
"11","Resto Urbano Interior","urban_aglom4","safety",0.259744037230948,0.542436344923256,0.478847038296626
"52","Varón","head_house_sex","unsafety",0.690384615384615,1.44518391730434,0.477714017654149
"4","Gran Buenos aires","urban_aglom2","unsafety",0.273076923076923,0.578777912023985,0.47181642112425
"14","AMBA","region","unsafety",0.273076923076923,0.578777912023985,0.47181642112425
"45","precarious_employm","head_house_empl","safety",0.221931355439209,0.48346981697767,0.459038698271952
"34","Hogar familiar nuclear completo","home_type1","unsafety",0.467307692307692,1.03158925135365,0.452997829993374
"60","Propietario","housing_tenure","unsafety",0.590384615384615,1.31464290508793,0.44908363563954
"58","Inquilino","housing_tenure","unsafety",0.136538461538462,0.306695529601289,0.445192212993664
"49","Mujer","head_house_sex","safety",0.245200698080279,0.554816082695664,0.441949513952321
"17","NEA","region","safety",0.0776614310645724,0.175738354141495,0.441915092718141
"31","Hogar familiar extendido","home_type1","safety",0.244618964514252,0.554234349129637,0.441363774905686
"19","NOA","region","safety",0.141070389761489,0.327608851299951,0.430606160980457
"29","Hogar familiar compuesto","home_type1","safety",0.0203606748109366,0.0472837517340135,0.430606160980457
"38","Hogar multipersonal no familiar","home_type1","unsafety",0.00769230769230769,0.0181635118807894,0.42350332594235
"25","Con niños","minors_in_home","safety",0.542757417102967,1.28506510941066,0.422357912551123
"40","Hogar unipersonal","home_type1","unsafety",0.0442307692307692,0.108512328276726,0.40761054465602
"35","Hogar familiar nuclear incompleto","home_type1","safety",0.0959860383944154,0.240216807625185,0.399580859238561
"55","sec_school_incompl","head_house_educa","safety",0.457242582897033,1.21108873674319,0.377546722238234
"28","Sin niños","minors_in_home","unsafety",0.257692307692308,0.714934890589341,0.360441644524979
"24","PATAGONIA","region","unsafety",0.0307692307692308,0.0889425873719067,0.345944858120346
"42","full_employment","head_house_empl","unsafety",0.230769230769231,0.70226428603392,0.328607385223182
"54","sec_school_compl","head_house_educa","unsafety",0.246153846153846,0.788911263256813,0.312017152775414
"6","Ciudad de Buenos Aires","urban_aglom4","unsafety",0.0326923076923077,0.113844140153041,0.287167241531794
"61","Tenencia informal","housing_tenure","safety",0.105584642233857,0.37866156531078,0.278836438409586
"47","unemployed","head_house_empl","safety",0.089586969168121,0.385740815321967,0.232246538633318
