"x"
"2015","14"
"2014","13"
"2013","12"
"2012","11"
"2011","10"
"2010","9"
""
""
""
""
""
"x"
"AB","7"
"C1","6"
"C2","5"
"C3","4"
"D1","3"
"D2 - ","2"
"E","1"
"x"
"ABC1","6"
"C2","5"
"C3","4"
"D1","3"
"D2","2"
"E","1"
"x"
"Clase trabajadora marginal","4"
"Clase obrera integrada","3"
"Clase media no profesional","2"
"Clase media profesional","1"
"x"
"Muy Bajo","4"
"Bajo","3"
"Medio Bajo","2"
"Medio Alto","1"
""
""
"x"
"Ciudades del Interior (con Rosario)","2"
"Gran Buenos aires","1"
"x"
"Resto Urbano Interior","4"
"Otras Áreas Metropolitanas","3"
"Conurbano Bonaerense","2"
"Ciudad de Buenos Aires","1"
"x"
"PATAGONIA","6"
"PAMPEANA","5"
"CUYO","4"
"NEA","3"
"NOA","2"
"AMBA","1"
"x"
"Villas y asentamientos","4"
"NSE Bajo/Vulnerable","3"
"NSE Medio y medio bajo","2"
"NSE Medio Alto","1"
"x"
"Con niños","1"
"Sin niños","0"
"x"
"Hogar multipersonal no familiar","6"
"Hogar familiar compuesto","5"
"Hogar familiar extendido","4"
"Hogar familiar nuclear incompleto","3"
"Hogar familiar nuclear completo","2"
"Hogar unipersonal","1"
"x"
"Hogar multipersonal no familiar","11"
"Hogar familiar incompleto (con o sin hijos) compuesto","10"
"Hogar familiar completo compuesto sin hijos","9"
"Hogar familiar completo compuesto con hijos","8"
"Hogar familiar incompleto (con o sin hijos) extendido","7"
"Hogar familiar extendido completo sin hijos y otros parientes","6"
"Hogar familiar extendido completo con hijos","5"
"Hogar familiar nuclear incompleto con hijos","4"
"Hogar familiar nuclear completo sin hijos","3"
"Hogar familiar nuclear completo con hijos","2"
"Hogar unipersonal","1"
"x"
"Hogar no familiar","3"
"Hogar familiar monoparental","2"
"Hogar familiar no monoparental","1"
"x"
"Inactivo","4"
"Subempleo/Desocupado","3"
"Empleo precario","2"
"Empleo pleno","1"
"x"
"Mujer","2"
"Varón","1"
"x"
"Sin secundario completo","2"
"Con secundario completo","1"
"x"
"Tenencia informal","3"
"Inquilino","2"
"Propietario","1"
"x"
"Con déficit","1"
"Sin Déficit","0"
"x"
"Con déficit","1"
"Sin déficit","0"
"x"
"Con déficit","1"
"Sin déficit","0"
""
"x"
"Con déficit","1"
"Sin déficit","0"
"x"
"Con déficit","1"
"Sin déficit","0"
"x"
"Con déficit","1"
"Sin déficit","0"
"x"
"Con déficit","1"
"Sin déficit","0"
"x"
"Con déficit","1"
"Sin déficit","0"
"x"
"Con déficit","1"
"Sin déficit","0"
"x"
"Con déficit","1"
"Sin déficit","0"
"x"
"Con déficit","1"
"Sin déficit","0"
"x"
"Con déficit","1"
"Sin déficit","0"
"x"
"Con déficit","1"
"Sin déficit","0"
"x"
"Con déficit","1"
"Sin déficit","0"
"x"
"Con déficit","1"
"Sin déficit","0"
"x"
"Con déficit","1"
"Sin déficit","0"
"x"
"Con déficit","1"
"Sin déficit","0"
"x"
"Con déficit","1"
"Sin déficit","0"
""
"x"
"Con déficit","1"
"Sin déficit","0"
""
"x"
"Con déficit","1"
"Sin déficit","0"
"x"
"Con déficit","1"
"Sin déficit","0"
""
""
""
"x"
"No declara monto exacto de ingreso ni el rango del ingreso total del hogar","100"
"Resto","0"
""
""
""
""
""
"x"
"Indigente","1"
"No Indigente","0"
"x"
"Pobre","1"
"No Pobre","0"
"x"
"Considera que la plata que juntan por mes en su hogar no les alcanza","100"
"Resto","0"
"x"
"Considera que la plata que juntan por mes en su hogar les alcanza y pueden ahorrar algo","100"
"Resto","0"
"x"
"IA severa","3"
"IA moderada","2"
"Seguridad","1"
"x"
"Con IA total","100"
"Sin IA total","0"
"x"
"Con IA moderada","100"
"Sin IA moderada","0"
"x"
"Con IA severa","100"
"Sin IA severa","0"
"x"
"Con percepción de planes sociales","100"
"Sin percepción de planes sociales","0"
"x"
"Con percepción de planes sociales","100"
"Sin percepción de planes sociales","0"
"x"
"Con percepción de planes sociales","100"
"Sin percepción de planes sociales","0"
"x"
"No haber pagado cuota de la casa, servicio publico o impuesto o tasa municipal","100"
"Resto","0"
"x"
"Haber tenido que dejar de ir al médico o al dentista o No comprar medicamentos","100"
"Resto","0"
"x"
"Haber tenido que dejar de ir al médico o al dentista","100"
"Resto","0"
"x"
"No comprar medicamentos","100"
"Resto","0"
"x"
"Con NBI","100"
"Sin NBI","0"
"x"
"Con hacinamiento","1"
"Sin hacinamiento","0"
"x"
"Con hacinamiento","1"
"Sin hacinamiento","0"
"x"
"vivienda inconveniente","1"
"Vivienda conveniente","0"
""
"x"
"Con niños que no asisten","1"
"SIn niños que no asisten","0"
""
